Step: 2390, Elapsed: 558.59s, Loss: 113.838211, Valid Loss: 115.060425, y_init: 83.562317
Step: 2400, Elapsed: 560.83s, Loss: 105.919769, Valid Loss: 105.519073, y_init: 90.527924
Step: 2410, Elapsed: 563.06s, Loss: 117.661842, Valid Loss: 120.199188, y_init: 87.700378
Step: 2420, Elapsed: 565.22s, Loss: 142.102676, Valid Loss: 127.637321, y_init: 95.191200
Step: 2430, Elapsed: 567.47s, Loss: 116.999512, Valid Loss: 117.227760, y_init: 89.985329
Step: 2440, Elapsed: 569.66s, Loss: 112.468719, Valid Loss: 116.404434, y_init: 90.698799
Step: 2450, Elapsed: 571.90s, Loss: 112.497108, Valid Loss: 109.930191, y_init: 93.333054
Step: 2460, Elapsed: 574.14s, Loss: 100.586205, Valid Loss: 121.788429, y_init: 92.976921
Step: 2470, Elapsed: 576.33s, Loss: 113.927414, Valid Loss: 112.542015, y_init: 95.288109
Step: 2480, Elapsed: 578.57s, Loss: 126.798393, Valid Loss: 142.954224, y_init: 99.449341
Step: 2490, Elapsed: 580.75s, Loss: 100.461296, Valid Loss: 98.261475, y_init: 96.716911
Step: 2500, Elapsed: 582.99s, Loss: 154.347305, Valid Loss: 109.883080, y_init: 101.012405
Step: 2510, Elapsed: 585.18s, Loss: 141.673004, Valid Loss: 146.549286, y_init: 109.070053
Step: 2520, Elapsed: 587.43s, Loss: 191.491135, Valid Loss: 189.813812, y_init: 103.036522
Step: 2530, Elapsed: 589.67s, Loss: 98.362473, Valid Loss: 115.819931, y_init: 104.621780
Step: 2540, Elapsed: 591.86s, Loss: 119.134583, Valid Loss: 106.443268, y_init: 104.249908
Step: 2550, Elapsed: 594.11s, Loss: 96.994316, Valid Loss: 110.645302, y_init: 108.674408
Step: 2560, Elapsed: 596.30s, Loss: 122.894371, Valid Loss: 117.532722, y_init: 108.349800
Step: 2570, Elapsed: 598.55s, Loss: 104.149765, Valid Loss: 103.430313, y_init: 109.814651
Step: 2580, Elapsed: 600.80s, Loss: 122.418869, Valid Loss: 124.928314, y_init: 117.984367
Step: 2590, Elapsed: 602.98s, Loss: 130.923172, Valid Loss: 138.991409, y_init: 117.463272
Step: 2600, Elapsed: 605.29s, Loss: 107.627869, Valid Loss: 112.302704, y_init: 112.424599
Step: 2610, Elapsed: 607.67s, Loss: 114.367340, Valid Loss: 98.568932, y_init: 113.753410
Step: 2620, Elapsed: 610.12s, Loss: 102.782707, Valid Loss: 101.768021, y_init: 115.773544
